experiment,run,seed,split,corruption,task,model,auc,closure_auc,closure_delta_vs_best_nonclosure,best_nonclosure,steps,n,dim,hidden,iters,params,rel_mode,directed
per_graph,karate,0,karate,IN,edge,raw,0.8393783810150205,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,raw,0.704447974669277,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,raw,0.6185354586587508,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,edge,cn,0.6501864023010571,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,cn,0.7392833518972,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,cn,0.6176077729529525,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,edge,jaccard,0.5538172544663228,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,jaccard,0.7430085954230147,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,jaccard,0.6378307803699105,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,edge,spectral,0.5577744542384829,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,spectral,0.711215953130308,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,spectral,0.6185354586587508,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,edge,pair,0.8787375714753263,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,4931,full,0
per_graph,karate,0,karate,IN,path2,pair,0.7495485051174283,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,4931,full,0
per_graph,karate,0,karate,IN,comm,pair,0.6771623031593227,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,4931,full,0
per_graph,karate,0,karate,IN,edge,deep,0.909690712849352,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,12035,full,0
per_graph,karate,0,karate,IN,path2,deep,0.748511310541112,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,12035,full,0
per_graph,karate,0,karate,IN,comm,deep,0.6520979245159912,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,12035,full,0
per_graph,karate,0,karate,IN,edge,deep_big,0.9095197522870532,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,56963,full,0
per_graph,karate,0,karate,IN,path2,deep_big,0.7593175846413209,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,56963,full,0
per_graph,karate,0,karate,IN,comm,deep_big,0.684753793881821,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,56963,full,0
per_graph,karate,0,karate,IN,edge,gcn,0.8803606770054788,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,31747,full,0
per_graph,karate,0,karate,IN,path2,gcn,0.7222399397601815,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,31747,full,0
per_graph,karate,0,karate,IN,comm,gcn,0.6215615946974139,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,31747,full,0
per_graph,karate,0,karate,IN,edge,closure,0.9045999889463034,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,60611,full,0
per_graph,karate,0,karate,IN,path2,closure,0.7548991926347348,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,60611,full,0
per_graph,karate,0,karate,IN,comm,closure,0.693550165134768,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,60611,full,0
per_graph,karate,0,karate,IN,edge,closure_i1,0.9131237333486484,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,closure_i1,0.7556971775563653,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,closure_i1,0.6809122108586725,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,edge,closure_i2,0.9129971478709242,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,closure_i2,0.7580526486310455,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,closure_i2,0.6850923984633481,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,edge,closure_i3,0.910766127382642,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,closure_i3,0.7566291162639629,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,closure_i3,0.6934297756865218,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,edge,closure_i5,0.9045999889463034,0.9045999889463034,-0.005090723903048544,deep,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,path2,closure_i5,0.7548991926347348,0.7548991926347348,-0.004418392006586114,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,IN,comm,closure_i5,0.693550165134768,0.693550165134768,0.008796371252946966,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,raw,0.6894616638064717,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,raw,0.5549914371403111,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,raw,0.5321945589348888,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,cn,0.5984936446968522,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,cn,0.5873240465991585,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,cn,0.5319972700016168,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,jaccard,0.5380290408883169,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,jaccard,0.5827912377066109,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,jaccard,0.538896442108328,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,spectral,0.5369018852083952,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,spectral,0.5697077079715904,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,spectral,0.5321945589348888,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,pair,0.7353580119978547,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,4931,full,0
per_graph,karate,0,karate,OOD,path2,pair,0.5946423470220314,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,4931,full,0
per_graph,karate,0,karate,OOD,comm,pair,0.5694408298193228,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,4931,full,0
per_graph,karate,0,karate,OOD,edge,deep,0.7658265044375681,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,12035,full,0
per_graph,karate,0,karate,OOD,path2,deep,0.5944861978875564,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,12035,full,0
per_graph,karate,0,karate,OOD,comm,deep,0.5626055523856865,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,12035,full,0
per_graph,karate,0,karate,OOD,edge,deep_big,0.7527538606724122,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,56963,full,0
per_graph,karate,0,karate,OOD,path2,deep_big,0.5937368559347855,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,56963,full,0
per_graph,karate,0,karate,OOD,comm,deep_big,0.5761336775525121,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,56963,full,0
per_graph,karate,0,karate,OOD,edge,gcn,0.7750509853692961,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,31747,full,0
per_graph,karate,0,karate,OOD,path2,gcn,0.5896007594977496,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,31747,full,0
per_graph,karate,0,karate,OOD,comm,gcn,0.5476967150722445,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,31747,full,0
per_graph,karate,0,karate,OOD,edge,closure,0.7608350968357764,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,60611,full,0
per_graph,karate,0,karate,OOD,path2,closure,0.5926027237956797,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,60611,full,0
per_graph,karate,0,karate,OOD,comm,closure,0.57617129715636,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,60611,full,0
per_graph,karate,0,karate,OOD,edge,closure_i1,0.7665779730603507,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,closure_i1,0.5893708920502112,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,closure_i1,0.5747744774768644,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,closure_i2,0.7669553150007836,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,closure_i2,0.5928755093095617,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,closure_i2,0.5751309092615537,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,closure_i3,0.7648584715454582,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,closure_i3,0.5932374605704591,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,closure_i3,0.576570602660699,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,edge,closure_i5,0.7608350968357764,0.7608350968357764,-0.014215888533519627,gcn,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,path2,closure_i5,0.5926027237956797,0.5926027237956797,-0.002039623226351761,pair,120,32,48,64,5,-1,full,0
per_graph,karate,0,karate,OOD,comm,closure_i5,0.57617129715636,0.57617129715636,3.761960384784935e-05,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,raw,0.8438295231899259,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,raw,0.7360190832408939,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,raw,0.6672910619717121,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,cn,0.835597055285666,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,cn,0.7862261355711153,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,cn,0.6590949465443467,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,jaccard,0.7684418125937974,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,jaccard,0.7904849173355077,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,jaccard,0.7028092780594399,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,spectral,0.7380085580964699,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,path2,spectral,0.662356713962914,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,comm,spectral,0.6672910619717121,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,-1,full,0
per_graph,lesmis,0,lesmis,IN,edge,pair,0.9346760956025618,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,4931,full,0
per_graph,lesmis,0,lesmis,IN,path2,pair,0.7904561314437756,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,4931,full,0
per_graph,lesmis,0,lesmis,IN,comm,pair,0.7381611659477847,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,4931,full,0
per_graph,lesmis,0,lesmis,IN,edge,deep,0.9459778198433234,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,12035,full,0
per_graph,lesmis,0,lesmis,IN,path2,deep,0.7935255673513193,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,12035,full,0
per_graph,lesmis,0,lesmis,IN,comm,deep,0.7282331148820729,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,12035,full,0
per_graph,lesmis,0,lesmis,IN,edge,deep_big,0.9451832219246843,0.9486848703145939,0.0027070504712705112,deep,120,32,48,64,5,56963,full,0
per_graph,lesmis,0,lesmis,IN,path2,deep_big,0.7917241114750955,0.8005030921839735,0.006977524832654236,deep,120,32,48,64,5,56963,full,0
per_graph,lesmis,0,lesmis,IN,comm,deep_big,0.7668217764044734,0.7779601118013922,0.011138335396918886,deep_big,120,32,48,64,5,56963,full,0
