dataset,score,auroc_high,auroc_low,auroc_best,ap_high,pretrain_steps,dim,ops,iters,contract,h_contract,far_keep,move,state_var
breast_cancer,closure_typicality,0.6915849056603773,0.30841509433962266,0.6915849056603773,0.7070901390917438,200,48,8,6,1.3666512966156006,3.2961182594299316,2.223763942718506,0.8532053232192993,0.35799574851989746
breast_cancer,closure_instability,0.6947169811320755,0.3052830188679245,0.6947169811320755,0.7666786535365863,200,48,8,6,1.3666512966156006,3.2961182594299316,2.223763942718506,0.8532053232192993,0.35799574851989746
breast_cancer,embedding_dist,0.7184905660377358,0.28150943396226413,0.7184905660377358,0.699000000917438,200,48,8,6,1.3666512966156006,3.2961182594299316,2.223763942718506,0.8532053232192993,0.35799574851989746
breast_cancer,raw_dist,0.958377358490566,0.04162264150943397,0.958377358490566,0.9754102753484558,200,48,8,6,1.3666512966156006,3.2961182594299316,2.223763942718506,0.8532053232192993,0.35799574851989746
breast_cancer,pca_recon,0.9236981132075472,0.07630188679245284,0.9236981132075472,0.9484852063999893,200,48,8,6,1.3666512966156006,3.2961182594299316,2.223763942718506,0.8532053232192993,0.35799574851989746
breast_cancer,isolation_forest,0.9601509433962263,0.03984905660377359,0.9601509433962263,0.9771498005274974,200,48,8,6,1.3666512966156006,3.2961182594299316,2.223763942718506,0.8532053232192993,0.35799574851989746
breast_cancer,random,0.5135471698113208,0.4864528301886792,0.5135471698113208,0.6415584621683745,200,48,8,6,1.3666512966156006,3.2961182594299316,2.223763942718506,0.8532053232192993,0.35799574851989746
digits,closure_typicality,0.7138293650793652,0.28617063492063494,0.7138293650793652,0.9201828431056298,200,48,8,6,1.669224500656128,3.7089242935180664,1.404561996459961,0.8341385722160339,0.17701873183250427
digits,closure_instability,0.15918650793650796,0.8408134920634921,0.8408134920634921,0.8234793536485989,200,48,8,6,1.669224500656128,3.7089242935180664,1.404561996459961,0.8341385722160339,0.17701873183250427
digits,embedding_dist,0.6986706349206349,0.3013293650793651,0.6986706349206349,0.9159360639688152,200,48,8,6,1.669224500656128,3.7089242935180664,1.404561996459961,0.8341385722160339,0.17701873183250427
digits,raw_dist,1.0,0.0,1.0,1.0,200,48,8,6,1.669224500656128,3.7089242935180664,1.404561996459961,0.8341385722160339,0.17701873183250427
digits,pca_recon,1.0,0.0,1.0,1.0,200,48,8,6,1.669224500656128,3.7089242935180664,1.404561996459961,0.8341385722160339,0.17701873183250427
digits,isolation_forest,0.9999404761904762,5.952380952380959e-05,0.9999404761904762,0.9999953202930174,200,48,8,6,1.669224500656128,3.7089242935180664,1.404561996459961,0.8341385722160339,0.17701873183250427
digits,random,0.5401984126984127,0.4598015873015873,0.5401984126984127,0.9392136756461706,200,48,8,6,1.669224500656128,3.7089242935180664,1.404561996459961,0.8341385722160339,0.17701873183250427
wine,closure_typicality,0.4233693477390956,0.5766306522609044,0.5766306522609044,0.8131775350484264,200,48,8,6,1.2630418539047241,5.2687482833862305,0.853137731552124,0.818314790725708,0.4711383283138275
wine,closure_instability,0.7931172468987595,0.2068827531012405,0.7931172468987595,0.9169272536285354,200,48,8,6,1.2630418539047241,5.2687482833862305,0.853137731552124,0.818314790725708,0.4711383283138275
wine,embedding_dist,0.7647058823529411,0.23529411764705882,0.7647058823529411,0.9498297497049352,200,48,8,6,1.2630418539047241,5.2687482833862305,0.853137731552124,0.818314790725708,0.4711383283138275
wine,raw_dist,0.9791916766706682,0.020808323329331746,0.9791916766706682,0.9957377430026836,200,48,8,6,1.2630418539047241,5.2687482833862305,0.853137731552124,0.818314790725708,0.4711383283138275
wine,pca_recon,0.9391756702681072,0.060824329731892765,0.9391756702681072,0.9886448776439335,200,48,8,6,1.2630418539047241,5.2687482833862305,0.853137731552124,0.818314790725708,0.4711383283138275
wine,isolation_forest,0.9859943977591036,0.014005602240896363,0.9859943977591036,0.9974683524703813,200,48,8,6,1.2630418539047241,5.2687482833862305,0.853137731552124,0.818314790725708,0.4711383283138275
wine,random,0.5518207282913166,0.4481792717086835,0.5518207282913166,0.8670531470199756,200,48,8,6,1.2630418539047241,5.2687482833862305,0.853137731552124,0.818314790725708,0.4711383283138275
